call,qso_date,time_off,freq,mode,rst_sent,comment,band,unknown
K0DEQ,20210228,1353,14.0756,FT8,-08,Opr PD9HIX,20m,unknown
K0DEQ,20210228,1422,14.0756,FT8,-05,Opr PD9HIX,20m,unknown
K4TT,20210220,2208,3.5746,FT8,-19,Opr PD9HIX,80m,unknown
K4ZO,20210228,1549,14.0756,FT8,-21,Opr PD9HIX,20m,unknown
K8DID,20210228,1402,14.0756,FT8,-10,Opr PD9HIX,20m,unknown
K9IG,20210226,1500,14,FT8,-15,OPR PA3EFR,20m,unknown
KI8JP,20210228,1416,14.0756,FT8,-12,Opr PD9HIX,20m,unknown
KP4JRS,20210219,1122,18.068,FT8,-21,OPR PA3EFR,17m,unknown
KW4CQ,20210228,1623,14.0756,FT8,-20,Opr PD9HIX,20m,unknown
LA5WJA,20210227,1513,10.1,FT8,-8,OPR PA3EFR,30m,unknown
LY3CY,20210226,1542,10.1,FT8,-5,OPR PA3EFR,30m,unknown
LY5P,20210227,1452,10.1,FT8,+3,OPR PA3EFR,30m,unknown
LY7Z,20210226,1818,5.357,FT8,-10,OPR PA3EFR,60m,unknown
LZ1CCP,20210222,1927,7.07631,FT8,-09,pe2pvd,40m,unknown
LZ1DD,20210220,2127,3.5746,FT8,-10,Opr PD9HIX,80m,unknown
LZ1DD,20210227,1518,10.1,FT8,-3,OPR PA3EFR,30m,unknown
LZ1FG,20210220,1157,14.182,SSB,59,Op PD9HIX,20m,unknown
LZ1LZ,20210222,1850,7.07597,FT8,+01,pe2pvd,40m,unknown
LZ1SAD,20210222,1906,7.07631,FT8,-02,pe2pvd,40m,unknown
LZ2SEP,20210222,1832,7.0754,FT8,-09,pe2pvd,40m,unknown
LZ2XF,20210228,1419,14.0756,FT8,-01,Opr PD9HIX,20m,unknown
M0IFC,20210222,2053,3.5746,FT8,-12,Opr PD9HIX,80m,unknown
M0RIU,20210222,2011,3.5746,FT8,+01,Opr PD9HIX,80m,unknown
MM0INH,20210220,1059,7.09,SSB,unknown,bas,40m,unknown
MM0ULL,20210220,0938,7.088,SSB,unknown,bas,40m,unknown
MM1AWV,20210220,2255,1253,ECHOLINK,unknown,OPR PA3EFR PB7TT  ,ECHOLINK,unknown
N0FW,20210226,1437,14,FT8,-9,OPR PA3EFR,20m,unknown
N3XLS,20210228,1658,14.0752,FT8,-12,Opr PD9HIX,20m,unknown
NE8Z,20210221,1418,14.155,SSB,59,Ronald,20m,unknown
OE18AAW,20210221,1334,7,SSB,unknown,Bas vanaf bb,40m,unknown
OE2VDL,20210220,0839,7.0756,FT8,+04,Opr PD9HIX,40m,unknown
OE5PEN,20210220,0812,7.0756,FT8,-04,Opr PD9HIX,40m,unknown
OH3GZ,20210220,1305,14.182,SSB,55,Op PD9HIX,20m,unknown
OH7BDI,20210226,1539,10.1,FT8,-5,OPR PA3EFR,30m,unknown
OH8NV,20210227,1551,10.1,FT8,-4,OPR PA3EFR,30m,unknown
OK1FHI,20210220,2228,3.5746,FT8,-11,Opr PD9HIX,80m,unknown
OK1HEH,20210220,2219,3.5746,FT8,-15,Opr PD9HIX,80m,unknown
OK1KM,20210221,2026,1.8412,FT8,-16,Opr PD9HIX,160m,unknown
OK2BRV,20210222,1837,5.357,FT8,-13,OPR PA3EFR,60m,unknown
OK2BZ,20210221,1959,3.5746,FT8,-11,Opr PD9HIX,80m,unknown
OK4RQ,20210222,2016,3.5746,FT8,-13,Opr PD9HIX,80m,unknown
OK4TO,20210226,1835,5.357,FT8,-15,OPR PA3EFR,60m,unknown
OK6DJ,20210222,1855,5.357,FT8,-9,OPR PA3EFR,60m,unknown
OK7TB,20210220,2123,3.5746,FT8,-11,Opr PD9HIX,80m,unknown
OM0WT,20210226,1822,5.357,FT8,-18,OPR PA3EFR,60m,unknown
OM2AOA,20210228,0943,10.1,FT8,-7,OPR PA3EFR,30m,unknown
OM3FQ,20210220,2203,3.5746,FT8,-03,Opr PD9HIX,80m,unknown
OM3PR,20210220,2231,3.5746,FT8,-03,Opr PD9HIX,80m,unknown
OM3WTM,20210218,2051,1.8,FT8,-17,OPR PA3EFR,160m,unknown
OM3ZAS,20210227,1552,10.1,FT8,-5,OPR PA3EFR,30m,unknown
OM5XX,20210222,1857,5.357,FT8,unknown,OPR PA3EFR,60m,unknown
OM8AEO,20210220,2158,3.5746,FT8,-13,Opr PD9HIX,80m,unknown
ON2IC,20210220,0729,3.5746,FT8,+04,Opr PD9HIX,80m,unknown
ON5HE,20210222,1948,3.5746,FT8,-01,Opr PD9HIX,80m,unknown
ON7GB,20210222,1823,5.357,FT8,-9,OPR PA3EFR,60m,unknown
OT7A,20210222,2020,3.5746,FT8,-14,Opr PD9HIX,80m,unknown
OZ2FES,20210220,2233,1253,ECHOLINK,unknown,OPR PA3EFR PD9HIX PB7TT,ECHOLINK,unknown
OZ7AI,20210220,1054,7.138,SSB,unknown,bas,40m,unknown
PA0KGB,20210222,1950,7.07631,FT8,+03,pe2pvd,40m,unknown
PA1CW,20210220,0746,3.5746,FT8,-05,Opr PD9HIX,80m,unknown
PA1MV,20210220,0852,14.19,SSB,59,OPR PA3EFR,20m,unknown
PA1TLO,20210222,1208,144.175,FT8,-11,pe2pvd,2m,unknown
PA2A,20210226,1846,5.357,FT8,-4,OPR PA3EFR,60m,unknown
PA2F,20210222,0732,144.175,FT8,-10,pe2pvd,2m,unknown
PA2WDR,20210222,2015,7.07631,FT8,-08,pe2pvd,40m,unknown
PA3ALF,20210221,0922,144.175,FT8,-09,pe2pvd,2m,unknown
PA3CPS,20210220,0716,3.5746,FT8,+09,Opr PD9HIX,80m,unknown
PA3EFR,20210220,0941,7.088,SSB,unknown,bas,40m,unknown
PA3FYG,20210222,2025,3.5746,FT8,-07,Opr PD9HIX,80m,unknown
PA3GAE,20210218,2048,1.8,FT8,-7,OPR PA3EFR,160m,unknown
PA3GHJ,20210222,1206,144.175,FT8,-14,pe2pvd,2m,unknown
PA5ELZ,20210221,1728,3.715,LSB,59,Opr PD2SVA,80m,unknown
PA7FB,20210222,1812,7.07497,FT8,-15,pe2pvd,40m,unknown
PB0ACU,20210226,1500,14,FT8,-17,OPR PA3EFR,20m,unknown
PB7TT,20210220,2233,1253,ECHOLINK,unknown,OPR PA3EFR PD9HIX PB7TT,ECHOLINK,unknown
PB7TT,20210221,0935,144.175,FT8,-09,pe2pvd,2m,unknown
PD0MNO,20210222,2026,7.07631,FT8,-17,pe2pvd,40m,unknown
PD0RZH,20210222,0755,144.175,FT8,-12,pe2pvd,2m,unknown
PD1TOM,20210221,0937,144.175,FT8,-09,pe2pvd,2m,unknown
PD2SVA,20210220,1021,3.69,SSB,59,OPR PA3EFR,80m,unknown
PD2VE,20210222,1819,7.07497,FT8,-17,pe2pvd,40m,unknown
PD5GH,20210221,0931,144.175,FT8,-14,pe2pvd,2m,unknown
PD5MVH,20210222,0749,144.175,FT8,-14,pe2pvd,2m,unknown
PD7BDN,20210226,1525,14,FT8,-11,OPR PA3EFR,20m,unknown
PD9HIX,20210220,0945,7.088,SSB,unknown,bas,40m,unknown
PD9HIX,20210220,0953,3.69,SSB,59,OPR PA3EFR,80m,unknown
PE1CPJ,20210222,0814,144.175,FT8,-14,pe2pvd,2m,unknown
PE1KWD,20210222,0847,144.175,FT8,-15,pe2pvd,2m,unknown
PE1LZZ,20210219,1123,18.068,FT8,-9,OPR PA3EFR,17m,unknown
PE1NPS,20210221,0908,144.175,FT8,-09,pe2pvd,2m,unknown
PE2MOS,20210220,1006,3.5,SSB,unknown,bas,80m,unknown
PE2PVD,20210218,1207,70.35,FM,59,OPR PA3EFR,4m,unknown
PI4RS,20210220,1006,3.69,SSB,59,Op PD9HIX,80m,unknown
R1YY,20210228,1449,14.0756,FT8,+08,Opr PD9HIX,20m,unknown
R2DX,20210228,1559,14.0756,FT8,-13,Opr PD9HIX,20m,unknown
R3DCX,20210228,1332,14.0756,FT8,+04,Opr PD9HIX,20m,unknown
R3MBD,20210220,1259,14.182,SSB,52,Op PD9HIX,20m,unknown
R3TKM,20210227,1506,10.1,FT8,-17,OPR PA3EFR,30m,unknown
R3VA,20210228,0907,18.068,FT8,-12,OPR PA3EFR,17m,unknown
R4CO,20210227,1504,10.1,FT8,-4,OPR PA3EFR,30m,unknown
R4OF,20210226,1456,14,FT8,-15,OPR PA3EFR,20m,unknown
R4PU,20210228,0908,18.068,FT8,-14,OPR PA3EFR,17m,unknown
R6KX,20210222,1930,7.07631,FT8,-03,pe2pvd,40m,unknown
RA/W3RDX,20210220,1007,14.187,SSB,59,OPR PA3EFR,20m,unknown
RA1WZ,20210227,1524,10.1,FT8,-5,OPR PA3EFR,30m,unknown
RA3ABG,20210228,1553,14.0756,FT8,-03,Opr PD9HIX,20m,unknown
RA6ALD,20210227,1515,10.1,FT8,-15,OPR PA3EFR,30m,unknown
RC1C,20210228,1424,14.0756,FT8,-06,Opr PD9HIX,20m,unknown
RD1A,20210220,2148,3.5746,FT8,-18,Opr PD9HIX,80m,unknown
RD4D,20210226,1447,14,FT8,-6,OPR PA3EFR,20m,unknown
RD4D,20210218,0839,21.0748,FT8,+06,pe2pvd,15m,unknown
RJ6L,20210222,1921,7.07631,FT8,-09,pe2pvd,40m,unknown
RK4FF,20210228,0910,18.068,FT8,unknown,OPR PA3EFR,17m,unknown
RK4FF,20210228,1500,14.0756,FT8,-07,Opr PD9HIX,20m,unknown
RK4FF,20210218,0842,21.0748,FT8,-01,pe2pvd,15m,unknown
RL1F,20210227,1507,10.1,FT8,-10,OPR PA3EFR,30m,unknown
RN1ON,20210222,1759,7.07497,FT8,+00,pe2pvd,40m,unknown
RN1TV,20210227,1544,10.1,FT8,-4,OPR PA3EFR,30m,unknown
RN3DN,20210220,1307,14.182,SSB,55,Op PD9HIX,20m,unknown
RN3Z,20210228,1356,14.0756,FT8,-09,Opr PD9HIX,20m,unknown
RT2S,20210222,1818,7.07497,FT8,-11,pe2pvd,40m,unknown
RV6K,20210222,2003,7.07631,FT8,-14,pe2pvd,40m,unknown
RX3ASQ,20210228,1000,10.1,FT8,-9,OPR PA3EFR,30m,unknown
RX6AAT,20210228,1606,14.0756,FT8,-19,Opr PD9HIX,20m,unknown
RY7G,20210220,2031,7.0756,FT8,-07,Opr PD9HIX,40m,unknown
RY9C,20210220,2111,3.5746,FT8,-12,Opr PD9HIX,80m,unknown
RZ6FG,20210222,2044,3.5746,FT8,-12,Opr PD9HIX,80m,unknown
S52D,20210220,0826,7.0756,FT8,+20,Opr PD9HIX,40m,unknown
