call,qso_date,time_off,freq,mode,rst_sent,comment,band,unknown
UW5EHR,20210228,1607,14.0756,FT8,+00,Opr PD9HIX,20m,unknown
UW5EHR,20210222,1929,7.07631,FT8,-08,pe2pvd,40m,unknown
UW8SM,20210220,2028,7.0756,FT8,-14,Opr PD9HIX,40m,unknown
UX7QV,20210222,1910,7.07631,FT8,-09,pe2pvd,40m,unknown
UX7UU,20210220,2027,7.0756,FT8,-19,Opr PD9HIX,40m,unknown
UY5CQ,20210228,1334,14.0756,FT8,-08,Opr PD9HIX,20m,unknown
UY7LA,20210228,1358,14.0756,FT8,-12,Opr PD9HIX,20m,unknown
VE1YX,20210220,2141,5.357,FT8,-5,OPR PA3EFR,60m,unknown
VK2GGZ,20210220,0815,1253,ECHOLINK,59,OPR PA3EFR,ECHOLINK,unknown
VK2YL,20210220,2233,1253,ECHOLINK,unknown,OPR PA3EFR PD9HIX PB7TT,ECHOLINK,unknown
VK7GGZ,20210220,2244,1253,ECHOLINK,unknown,OPR PA3EFR PD9HIX PB7TT,ECHOLINK,unknown
VK7QP,20210220,2230,1250,ECHOLINK,unknown,OPR PA3EFR PD9HIX PB7TT,ECHOLINK,unknown
W0AQ,20210221,1620,14.0756,FT8,-05,Opr PD9HIX,20m,unknown
W1CU,20210226,1503,14,FT8,-7,OPR PA3EFR,20m,unknown
W1CU,20210228,1344,14.0756,FT8,-04,Opr PD9HIX,20m,unknown
W1OW,20210220,1159,14.182,SSB,55,Op PD9HIX  ,20m,unknown
WA1ZDA,20210220,2150,5.357,FT8,-15,OPR PA3EFR,60m,unknown
WA2HIP,20210221,1630,14.0756,FT8,-15,Opr PD9HIX,20m,unknown
YB0AZ,20210221,1423,14.208,SSB,59,Op PD9HIX,20m,unknown
YC3DOC,20210226,1506,14,FT8,-21,OPR PA3EFR,20m,unknown
YL2BK,20210220,2117,3.5746,FT8,-10,Opr PD9HIX,80m,unknown
YO3GCL,20210221,2015,7.0756,FT8,-17,Opr PD9HIX,40m,unknown
YO3GNF,20210226,1526,14,FT8,+4,OPR PA3EFR,20m,unknown
YO4NF,20210221,1936,3.5746,FT8,-13,Opr PD9HIX,80m,unknown
YO4NF,20210226,1817,5.357,FT8,-5,OPR PA3EFR,60m,unknown
YO5RXM,20210222,1821,7.07497,FT8,-09,pe2pvd,40m,unknown
YO6GLT,20210222,1828,7.0754,FT8,-06,pe2pvd,40m,unknown
YO9HP,20210228,1521,14.0756,FT8,+03,Opr PD9HIX,20m,unknown
YT6M,20210220,0952,7.088,SSB,unknown,bas,40m,unknown
YU1FW,20210220,2239,3.5746,FT8,-17,Opr PD9HIX,80m,unknown
YU7GW,20210220,2013,7.182,SSB,51,Op PD9HIX,40m,unknown
